epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.934,0.91124,2.54957,1.50017,0.00333,1,0.72435,0.48871,0.70771,3.31618,1.57751,0.00018,0.00018,0.00018
2,292.408,0.69685,2.12983,1.37508,0.00333,1,0.80087,0.49138,0.81903,3.26555,1.51963,0.00035492,0.00035492,0.00035492
3,409.004,0.68017,1.77866,1.33911,0.00333,1,0.93474,0.59059,0.7342,3.13549,1.42127,0.00050344,0.00050344,0.00050344
4,553.521,0.71572,1.54469,1.37043,0.7526,0.9,0.90859,0.55171,0.96188,3.01998,1.6001,0.00062556,0.00062556,0.00062556
5,648.075,0.63839,1.33164,1.30533,0.84797,0.9,0.93453,0.57302,0.99111,2.64614,1.86068,0.00072128,0.00072128,0.00072128
6,741.607,0.6478,2.00467,1.48833,0.93891,0.76917,0.96938,0.54839,1.00631,2.93071,1.83035,0.0007906,0.0007906,0.0007906
7,852.224,0.67329,1.85554,1.46859,1,0.94707,0.98848,0.60781,0.96195,2.41145,2.02967,0.00083352,0.00083352,0.00083352
8,952.463,0.65209,1.63539,1.49879,0.98384,0.95,0.99262,0.66776,1.04563,2.52071,2.15655,0.00085004,0.00085004,0.00085004
9,1071.19,0.69517,1.5139,1.48327,0.99373,1,0.995,0.6944,0.83376,2.2256,1.55848,0.00084016,0.00084016,0.00084016
10,1186.89,0.59374,1.44152,1.42419,0.99645,1,0.995,0.80377,0.69556,2.06188,1.35222,0.00080388,0.00080388,0.00080388
11,1312.79,0.57535,1.348,1.40395,0.97654,1,0.995,0.82142,0.64123,1.80909,1.27884,0.00068,0.00068,0.00068
12,1445.28,0.53976,1.23846,1.3777,0.89145,0.95,0.93487,0.68433,0.92735,2.09227,1.53162,0.000548,0.000548,0.000548
13,1550.73,0.48778,1.19427,1.30855,0.94737,1,0.98548,0.80037,0.78407,1.7741,1.39739,0.000416,0.000416,0.000416
14,1652.36,0.49968,1.18191,1.3241,0.9962,1,0.995,0.80442,0.68647,1.51665,1.3151,0.000284,0.000284,0.000284
15,1756.22,0.44582,1.12698,1.24626,0.99685,1,0.995,0.79075,0.71786,1.4633,1.34474,0.000152,0.000152,0.000152
